group,split_pct,auc,acc,prec,rec,f1,mcc
Developer+Cross (21),10,0.6427216183109358,0.5912320649639242,0.6888497135301895,0.5235178716685008,0.594910554075363,0.20522174167053966
Developer+Cross (21),20,0.6457440071047337,0.5924199870374371,0.698382153802295,0.5219730463964204,0.5974271430313376,0.2106506364356328
Developer+Cross (21),30,0.6770665307668523,0.612147719657155,0.7113704877483188,0.5589432128757972,0.6260118359295286,0.24250554933840313
Developer+Cross (21),40,0.6766923452642553,0.6175054524505165,0.7080907273833319,0.5785288270377733,0.6367863702082763,0.24692704249574884
Developer+Cross (21),50,0.6943822436133782,0.6304380030615772,0.7340168183389011,0.5518316445830086,0.6300177971129128,0.2866453297669435
Developer+Cross (21),60,0.6869118941114721,0.6199617307573606,0.7326860841423948,0.5012731097088453,0.5952803523302439,0.2768986807814451
Developer+Cross (21),70,0.7057812694583745,0.6322113406304007,0.7775607638888888,0.5098904226554718,0.6159003008165019,0.3153658752494639
Developer+Cross (21),80,0.7058857873439184,0.6396741143068757,0.7672336615935542,0.545859872611465,0.6378861183475996,0.31637809124375676
Developer+Cross (21),90,0.6547230235656777,0.6028141199703777,0.7252747252747253,0.46622516556291393,0.5675893576995431,0.2506738129968089
Code+Comment+Project (34),10,0.57811809737436,0.5613289073002112,0.6134818993018633,0.634910761280444,0.6240124153498872,0.09803062875865287
Code+Comment+Project (34),20,0.5628213248513972,0.5426684361593778,0.6170326093389359,0.5553720769189794,0.5845808802915615,0.07959254903694528
Code+Comment+Project (34),30,0.6197942555706482,0.5547599731931854,0.7095788784638882,0.39501973883996355,0.507510436580703,0.18045680476612602
Code+Comment+Project (34),40,0.6258303761791448,0.5893173120447718,0.6420069204152249,0.6586907128656632,0.6502418167799818,0.15320468649095972
Code+Comment+Project (34),50,0.6286165432739086,0.5938472174213619,0.6469651389134666,0.6332380704945008,0.6400280099785549,0.17427715661906432
Code+Comment+Project (34),60,0.643779402977772,0.5918770446268748,0.6707575116377487,0.5264031883095317,0.5898771864532937,0.20102789793250983
Code+Comment+Project (34),70,0.6774864671085221,0.5962472224508271,0.7653239929947461,0.43532090508040416,0.5549709724238027,0.26514709364718264
Code+Comment+Project (34),80,0.6940593966419165,0.6326379459326009,0.778957528957529,0.5140127388535032,0.6193399846508059,0.31593392386535857
Code+Comment+Project (34),90,0.6665498641630143,0.6139224882745001,0.7702390131071704,0.4410596026490066,0.5609208309938237,0.2918100881615682
All 55 features,10,0.6565137319883776,0.6051960165701901,0.6803769401330377,0.5873008277908034,0.6304219420118647,0.21421327921975938
All 55 features,20,0.6338443119205337,0.5916175426684361,0.6645287724924283,0.5960688222447131,0.6284398517353701,0.17939043132825408
All 55 features,30,0.6868850419709991,0.593629854326126,0.7426860396622815,0.4594594594594595,0.5677085287606469,0.24574374479945021
All 55 features,40,0.6873616902591777,0.632196205917452,0.6982891491985204,0.643354160749787,0.6696969696969697,0.25744898515014986
All 55 features,50,0.7064795615123486,0.6479680015801689,0.6994042245892761,0.670996795704512,0.6849060773480663,0.28682968622962396
All 55 features,60,0.7035273874266579,0.6368742670205543,0.7170617420066152,0.5759991143584634,0.6388360243108846,0.28923822101720115
All 55 features,70,0.7246010758991721,0.6432392395687597,0.7827731092436975,0.5302405009250035,0.63222193942479,0.33227460664946473
All 55 features,80,0.7314730950730703,0.6554746327613875,0.7530994460564495,0.6061571125265393,0.6716856840371721,0.3263975519415199
All 55 features,90,0.6889351566883958,0.6163910145643051,0.7163724893487523,0.5196467991169977,0.6023541453428863,0.2616207313495243
