label_variant,split_pct,auc,acc,prec,rec,f1,mcc
original,10,0.6565137319883776,0.6051960165701901,0.6803769401330377,0.5873008277908034,0.6304219420118647,0.21421327921975938
original,20,0.6338443119205337,0.5916175426684361,0.6645287724924283,0.5960688222447131,0.6284398517353701,0.17939043132825408
original,30,0.686885041970999,0.593629854326126,0.7426860396622815,0.4594594594594595,0.5677085287606469,0.24574374479945021
original,40,0.6873616902591777,0.632196205917452,0.6982891491985204,0.643354160749787,0.6696969696969697,0.25744898515014986
original,50,0.7064795615123485,0.6479680015801689,0.6994042245892761,0.670996795704512,0.6849060773480663,0.28682968622962396
original,60,0.7035273874266579,0.6368742670205543,0.7170617420066152,0.5759991143584634,0.6388360243108846,0.28923822101720115
original,70,0.7246010758991721,0.6432392395687597,0.7827731092436975,0.5302405009250035,0.63222193942479,0.33227460664946473
original,80,0.7314730950730703,0.6554746327613875,0.7530994460564495,0.6061571125265393,0.6716856840371721,0.3263975519415199
original,90,0.6889351566883958,0.6163910145643051,0.7163724893487523,0.5196467991169977,0.6023541453428863,0.2616207313495243
email_only,10,0.647345976898056,0.600422484979836,0.655709534368071,0.5860873011940743,0.6189467074797896,0.20312358472519038
email_only,20,0.6158472603591724,0.5815561248109626,0.6335841678023345,0.5918525488459623,0.6120077838827839,0.1595015493875618
email_only,30,0.6687961094171329,0.5831540333674298,0.7054496477414007,0.431386213887481,0.5353829218430571,0.2150783179164299
email_only,40,0.6789430485795223,0.6261882227068845,0.6842501253970907,0.6066557960272754,0.6431209240198005,0.25568298324144295
email_only,50,0.692287709867931,0.6413016641153523,0.6682900912069424,0.6820605512878446,0.6751051077913945,0.27491652022673596
email_only,60,0.6981023303521754,0.6375532374544781,0.7035212288074192,0.5592673655108858,0.623154922346297,0.2896476475304366
email_only,70,0.7224947047364568,0.6436507283351165,0.7624973634254377,0.5301363836339639,0.6254325259515571,0.32448575478267083
email_only,80,0.7363491588391006,0.6590544377237378,0.7547481420313791,0.5944071103403425,0.6650497210768858,0.3374729433168634
email_only,90,0.690717914916227,0.6228091829177981,0.7047504509921828,0.5305568130375735,0.6053719008264463,0.2672275394301556
strict_normalized,10,0.6564914524843999,0.6051685824805904,0.6804323725055432,0.587264376614678,0.6304247342201222,0.21416478984431409
strict_normalized,20,0.6339544900184894,0.5917101324033209,0.6647069303402815,0.5961333617383894,0.6285553839674295,0.17957615871063703
strict_normalized,30,0.6868711470927855,0.593524037952806,0.7426860396622815,0.4593757590478504,0.5676446311998199,0.24559178440036936
strict_normalized,40,0.6873960877458076,0.6322373564873873,0.6984432799013564,0.643359125434798,0.6697705354173595,0.2575259004271384
strict_normalized,50,0.7065410653400539,0.6480173818576861,0.6995847625925258,0.670995670995671,0.684992045253668,0.2869137907734384
strict_normalized,60,0.7035716790124142,0.6369359916054564,0.7173373759647188,0.5760292164674635,0.6389639086668304,0.2894147831303082
strict_normalized,70,0.7245821114797157,0.6431569418154884,0.7829831932773109,0.5301564722617355,0.6322307039864292,0.3322411706473266
strict_normalized,80,0.7313908050555236,0.6553511912109616,0.7533632286995515,0.6059834500318269,0.6716839134524929,0.3262355132581038
strict_normalized,90,0.6876817452488497,0.6176252777092076,0.715833835039133,0.5247131509267432,0.6055513114336644,0.26273528944817304
expanded_normalized,10,0.65634154808336,0.604894241584593,0.6823725055432373,0.5866933562100848,0.6309261442263339,0.21379824093890137
expanded_normalized,20,0.6334208865998142,0.5914014999537052,0.6667854385652354,0.5954603309291472,0.6291077181678106,0.17889955661266935
expanded_normalized,30,0.6871927238594975,0.5958872702902895,0.7455844030498987,0.46688021274023933,0.57420002229903,0.2493524421208351
expanded_normalized,40,0.6856107786070473,0.6297683222912638,0.6981857318573186,0.641701406062319,0.6687529914215236,0.251970816437825
expanded_normalized,50,0.7074323605798589,0.6478692410251345,0.7004121125246372,0.6736751400258509,0.6867835024377388,0.28532630061938125
expanded_normalized,60,0.7046186201945116,0.6361335720017283,0.7193175564116676,0.5755807552570736,0.6394715919515626,0.28837686331505735
expanded_normalized,70,0.7224107210949653,0.6434038350753024,0.7777097366809553,0.540119081372271,0.6374968627122898,0.32841857428335436
expanded_normalized,80,0.7342104213664499,0.6551043081101099,0.7574547390841321,0.6017343485617598,0.6706742102781706,0.32784388813807075
expanded_normalized,90,0.6885996515063862,0.6154036040483831,0.7142001198322349,0.5244170699516058,0.6047691527143582,0.2582502443443053
