model,split_pct,auc,acc,prec,rec,f1,mcc
xgboost_no_llm_features,10,0.655453113637666,0.6051137143013909,0.6855708335710617,0.5749557395090674,0.6254098787279446,0.2183703070973121
xgboost_no_llm_features,20,0.6211963750060957,0.5760933304527638,0.6544072575701851,0.5686890747349918,0.6085444751617408,0.15301936896621485
xgboost_no_llm_features,30,0.6833635193821004,0.5893971993933195,0.7466257668711657,0.4434861828120255,0.5564488473995046,0.2439438656758971
xgboost_no_llm_features,40,0.6852654747836754,0.628863009752685,0.6939572643026729,0.643354160749787,0.6676983162005822,0.24972314566850354
xgboost_no_llm_features,50,0.7065395783743804,0.6472272974174115,0.7021765084029755,0.6621633324673075,0.681583169905509,0.28752677686654265
xgboost_no_llm_features,60,0.7052171088202385,0.6303931856058268,0.7290506995637129,0.536477360788221,0.6181122448979591,0.28799983047395283
xgboost_no_llm_features,70,0.721197884328619,0.6338572956958275,0.7785220397579948,0.5127365874484132,0.6182754182754183,0.31799611731963173
xgboost_no_llm_features,80,0.7311598517619702,0.6510307369460561,0.7584408454570409,0.586624203821656,0.6615587214174548,0.32439452110087214
xgboost_no_llm_features,90,0.6878860353645846,0.6188595408541101,0.7232198142414861,0.515673289183223,0.6020618556701031,0.26911625800299216
